"Ticket ID","Title","Epic","Priority","Description","Acceptance Criteria","Dependencies","Traceability","Effort","Milestone"
"ENG-001","Award Certification Clause Auto-Append","AI Transparency & Award Compliance","P0","Inject mandatory tribunal certification template into award generation pipeline before e-sign routing.","1. Auto-attaches to final PDF/JSON; 2. Hashed to Merkle tree; 3. Pipeline fails if omitted","ENG-010","Spec §1.2, Q21–Q25, Arch §4.3","M","4"
"ENG-002","AI Contribution Metadata Capture & Sealing","AI Transparency & Award Compliance","P0","Log AI model versions, prompt hashes, output versions, and tribunal approval status.","1. Stored in Elasticsearch; 2. Linked to award_id; 3. Exportable as certificate","ENG-001, ENG-015","Spec §1.3, Q26, Arch §3.2","M","4"
"ENG-003","Per-Case AI Opt-Out Toggle & Pipeline Bypass","AI Transparency & Award Compliance","P1","UI toggle that disables AI scaffolding pipeline when arbitrator selects Q26 opt-out.","1. Respects tribunal RBAC; 2. Fallback to manual templates; 3. Audit-logged per case","None","Spec §1.4, Q26, Arch §3.1","S","4"
"ENG-004","Neo4j Conflict Graph Schema & Relationship Weighting","Continuous Independence Disclosure","P0","Deploy graph model for arbitrators, counsel, firms, prior cases, experts, institutions.","1. Schema deployed & indexed; 2. Relationships weighted by recency/ties; 3. Query latency <500ms","ENG-006","Spec §2.4, Q16/Q28, Arch §3.2","L","2"
"ENG-005","AI Conflict Scanner (NLP Extraction + Probability Scoring)","Continuous Independence Disclosure","P0","NLP pipeline that extracts names/firms from new filings and scores conflict probability (0–100%).","1. Flags >30% for review; 2. False positives dismissible & logged; 3. Runs on new submissions","ENG-004, ENG-013","Spec §2.4, Q14/Q16/Q18","XL","3"
"ENG-006","Disclosure Workflow UI + SLA Timers + Fallback Comms","Continuous Independence Disclosure","P1","In-app dashboard for tribunal acknowledgment, red-line amendments, and 48/72hr SLA enforcement.","1. One-click acknowledgment; 2. SMS/email fallback on timeout; 3. Case pause if unresponsive","ENG-004","Spec §2.3/2.4, Q14/Q18","M","3"
"ENG-007","Audit Trail & Kenya DPA Retention Engine","Continuous Independence Disclosure","P1","Immutable logs + automated purging of non-matches after 180 days; 5-yr post-case retention for matches.","1. Logs hashed to Merkle root; 2. Retention enforced by OPA; 3. ODPC-compliant export","ENG-020","Spec §2.4, Q20, Kenya DPA 2019","M","2"
"ENG-008","ICS Limited / eSign Africa CA API Integration","Kenyan CA & e-Signature","P0","Integrate licensed CA providers for QES generation, sandbox testing, and rate-limited prod routing.","1. <3s signing cycle in sandbox; 2. Error handling & retries; 3. Certificate schema mapped","ENG-009","Spec §3.3/3.5, Q21–Q25","L","3"
"ENG-009","HSM-Backed Signing Flow + RFC 3161 Timestamp Sync","Kenyan CA & e-Signature","P0","Secure document hashing → CA HSM → signature return → platform JWT binding + timestamp authority.","1. Zero platform key access; 2. Non-repudiation proof generated; 3. Timestamp synced & logged","ENG-008","Spec §3.5, Q24, Kenya Evidence Act s.106B","XL","3"
"ENG-010","OCSP/CRL Validation + Certificate Chain Checker","Kenyan CA & e-Signature","P1","Pre-signature validation of certificate revocation status, chain trust, and expiry monitoring.","1. Rejects revoked/expired certs; 2. Graceful fallback triggered; 3. Validation event logged","ENG-008","Spec §3.6, Q20, eIDAS 2.0","M","3"
"ENG-011","Wet-Sign Fallback + Notary Upload Workflow","Kenyan CA & e-Signature","P2","Generate printable award PDF, track courier, accept notary scan, apply manual seal if CA fails.","1. Fallback triggers <2s on CA timeout; 2. Tracking ID stored; 3. Manual seal cryptographically tagged","ENG-009","Spec §3.5, Q27, NY Convention Art IV","S","4"
"ENG-012","Consent Management & ODPC-Compliant PII Vault","Kenyan CA & e-Signature","P1","Capture explicit e-sign consent at intake, encrypt, store, and enable revocation workflow.","1. Consent log exportable; 2. Revocation blocks signing; 3. PII redacted post-issuance","ENG-008","Spec §3.2/3.5, Q20, Kenya DPA 2019","M","2"
"ENG-013","AI Orchestrator + Model Registry (MLflow/KServe)","AI Foundation & Core Architecture","P0","Central routing service for NLP, scheduling, compliance, translation models with versioning & rollback.","1. Latency <3s p95; 2. Canary deployment supported; 3. Drift triggers auto-rollback","None","Spec Part 1, Arch §3.1","XL","1"
"ENG-014","Rule Engine State Machine (Camunda + Rule Packs)","Core Architecture & Institutional Compliance","P0","JSON/YAML procedural definitions for UNCITRAL/KCAB/AfGAC/ad hoc with milestone auto-generation.","1. New pack deployed without code release; 2. Procedural deviations flagged; 3. Lex arbitri auto-selected","ENG-013","Spec §4.1, Q28, Arch §4.1","L","1"
"ENG-015","WORM Document Storage + SHA-256 Merkle Tree Verification","Core Architecture & Evidence Integrity","P0","Chunked uploads, client-side compression, cryptographic hashing, immutable versioning, hash verification on export.","1. <5s upload for 50MB on 3G; 2. Tamper-evident on access; 3. Export bundle court-admissible","ENG-014","Spec §1.3, Q15, Arch §4.2","L","2"
"ENG-016","Offline-First PWA Sync + Chunked Resume","Core Architecture & Connectivity Resilience","P1","Local IndexedDB cache, conflict resolution, background sync, SMS/WhatsApp delivery proofs.","1. Zero data loss offline; 2. Sync resumes automatically; 3. Read receipts hashed to case log","ENG-015","Spec §3.5, Q27, Arch §9.2","M","2"
"ENG-017","Pilot Acceptance Metrics Dashboard","Pilot Readiness & Compliance Validation","P1","Real-time dashboard tracking award compliance, disclosure SLAs, e-sign success, AI opt-out adherence, satisfaction.","1. All Spec §4.3 metrics visible; 2. Exportable for legal audit; 3. Alert thresholds configurable","ENG-001 to ENG-012","Spec §4.3, Q26/Q27","M","6"
"ENG-018","NY Convention Art. IV Automated Validation Checker","Pilot Readiness & Compliance Validation","P1","Pre-export validation of award format, signatures, seat tag, reasoning, attachments, and enforcement readiness.","1. 100% pass rate on pilot awards; 2. Flags missing formalities; 3. Generates enforcement bundle","ENG-001, ENG-015","Spec §1.2, Q21–Q25, NY Convention","S","5"
"ENG-019","Risk Monitoring Alerts (CA Downtime, AI Drift, Sync Failure)","Pilot Readiness & Compliance Validation","P2","Prometheus/Grafana alerts for infrastructure, AI, and connectivity risks with automated mitigation triggers.","1. Alerts route to PagerDuty/SMS; 2. Fallback workflows auto-engage; 3. Post-incident report generated","ENG-009, ENG-013, ENG-016","Spec §4.2, Arch §9","M","5"
"ENG-020","ODPC Compliance Reporting + Data Residency Router","Pilot Readiness & Compliance Validation","P1","OPA policy engine routing PII to Nairobi region, generating ODPC reports, enforcing legal holds.","1. Zero DPA violations in pen test; 2. Erasure requests processed <72hrs; 3. Audit-ready reports","ENG-007, ENG-012","Spec §4.1, Kenya DPA 2019","L","2"