"Section Title,Question Title,Question Type,Options,Required,Description"
"Section 1: Background,How many years have you been practicing as an arbitrator?,Multiple Choice,""Less than 2 years;2ñ5 years;6ñ10 years;11ñ20 years;More than 20 years"",TRUE,"
"Section 1: Background,What types of disputes do you most commonly arbitrate?,Checkbox,""Commercial;Construction;Employment / Labour;Investment / Treaty;Consumer;Maritime;Intellectual Property;Other"",TRUE,"
"Section 1: Background,In your arbitration practice, do you primarily:,Multiple Choice,""Sit as a sole arbitrator;Sit on three-member panels;Both equally"",TRUE,"
"Section 1: Background,Approximately how many arbitration cases do you handle per year?,Multiple Choice,""1ñ5;6ñ10;11ñ20;21ñ50;More than 50"",TRUE,"
"Section 1: Background,Are you registered with or appointed through any arbitral institution?,Checkbox,""Nairobi Centre for International Arbitration (NCIA);Chartered Institute of Arbitrators ñ Kenya Branch (CIArb Kenya);ICC International Court of Arbitration;LCIA;AAA / ICDR;ICSID;Ad hoc (no institution);Other"",TRUE,"

"Section 2: Current Process & Tools,How do you currently manage case files and submissions?,Checkbox,""Email only;Physical / paper files;Shared cloud folders (Google Drive, Dropbox, etc.);Dedicated case management software;Institutional platform;Other"",TRUE,"
"Section 2: Current Process & Tools,How do you primarily conduct hearings?,Multiple Choice,""In-person only;Video conferencing only;Hybrid;Document-only"",TRUE,"
"Section 2: Current Process & Tools,How do parties and counsel typically submit pleadings, evidence, and written submissions to you?,Checkbox,""Email;Physical courier / post;Institutional online portal;Shared cloud folder;WhatsApp or messaging apps;Other"",TRUE,"
"Section 2: Current Process & Tools,How do you issue procedural orders and communicate directions to parties?,Checkbox,""Email;Letter / formal correspondence;Institutional portal;WhatsApp;Video conference;Other"",TRUE,"
"Section 2: Current Process & Tools,How do you track deadlines?,Checkbox,""Personal calendar (Google Calendar, Outlook);Spreadsheet;Dedicated software / app;Manually / diary;I rely on parties to track deadlines;Other"",TRUE,"
"Section 2: Current Process & Tools,Do you currently use any ODR or arbitration case management platform?,Multiple Choice,""Yes;No"",TRUE,"
"Section 2: Current Process & Tools,If yes ó which platform(s) and what works or does not work for you?,Paragraph,,FALSE,"

"Section 3: Pain Points & Challenges,What is the single most time-consuming administrative task in your arbitration practice?,Paragraph,,TRUE,"
"Section 3: Pain Points & Challenges,How often do parties miss submission deadlines?,Multiple Choice,""Rarely (less than 10% of cases);Occasionally (10ñ30%);Frequently (30ñ60%);Almost always (more than 60%)"",TRUE,"
"Section 3: Pain Points & Challenges,How difficult is it to coordinate schedules between parties, counsel, and co-arbitrators?,Linear Scale,""1;5;Not difficult at all;Extremely difficult"",TRUE,"
"Section 3: Pain Points & Challenges,Rate the difficulty of managing document bundles and evidence organisation.,Linear Scale,""1;5;Not difficult at all;Extremely difficult"",TRUE,"
"Section 3: Pain Points & Challenges,What challenges do you face with multi-party or cross-border arbitrations?,Checkbox,""Time zone coordination;Language / translation barriers;Jurisdictional and governing law complexity;Enforcement uncertainty;Multiple counsels sending conflicting communications;Document formats and standards;Other"",FALSE,"
"Section 3: Pain Points & Challenges,How do you manage panel deliberations and award drafting when sitting on a three-member tribunal?,Paragraph,,FALSE,"
"Section 3: Pain Points & Challenges,What challenges do you face with arbitrator fees ó invoicing, deposit management, or payment collection?,Paragraph,,FALSE,"
"Section 3: Pain Points & Challenges,What security or confidentiality concerns do you have about using digital tools for arbitration?,Paragraph,,FALSE,"

"Section 4: Awards & Enforcement,How do you currently draft and finalise arbitral awards?,Checkbox,""From scratch each time;Using personal templates;Using institutional templates;Using AI tools (ChatGPT, etc.);Dictation / transcription service;Other"",TRUE,"
"Section 4: Awards & Enforcement,What challenges do you face in the award drafting process?,Checkbox,""Organising large volumes of submissions and evidence;Structuring reasoning clearly;Ensuring compliance with institutional rules;Coordinating edits with co-arbitrators;Time pressure;Other"",FALSE,"
"Section 4: Awards & Enforcement,How do parties currently receive and acknowledge the final award?,Checkbox,""Email with PDF attachment;Formal letter / courier;Institutional portal delivery;Electronic signature confirmation;Other"",TRUE,"
"Section 4: Awards & Enforcement,Do you currently track compliance with or enforcement of awards post-delivery?,Multiple Choice,""Yes, I track this actively;Occasionally;No ó that is counsel's responsibility;Not applicable to my practice"",TRUE,"

"Section 5: Platform Needs & Priorities,Which features would make the MOST difference to your practice?,Checkbox,""Secure document submission portal;Automated deadline tracking and reminders;Virtual hearing room with recording;Integrated e-signature for procedural orders and awards;Invoicing and arbitrator fee management;Panel deliberation and co-arbitrator workspace;AI-assisted award drafting;Institutional rules compliance checker;Post-award enforcement tracking;Multi-language support"",TRUE,"
"Section 5: Platform Needs & Priorities,Which AI-assisted functions would you be comfortable using?,Checkbox,""Summarising party submissions;Identifying legal issues raised;Drafting procedural orders;Suggesting applicable law and precedents;Drafting award framework / skeleton;Reviewing award for consistency and completeness;None ó I would not use AI tools"",TRUE,"
"Section 5: Platform Needs & Priorities,What would most likely prevent you from adopting an ODR platform?,Checkbox,""Cost / subscription fees;Data security concerns;Resistance from institutional clients;Resistance from parties or counsel;Learning curve;Lack of institutional recognition;I already have a satisfactory system;Other"",TRUE,"
"Section 5: Platform Needs & Priorities,Which arbitral rules do you apply most frequently?,Checkbox,""NCIA Rules;CIArb Rules;ICC Rules;UNCITRAL Rules;LCIA Rules;AAA / ICDR Rules;Domestic Arbitration Act (Kenya);Other"",TRUE,"
"Section 5: Platform Needs & Priorities,What pricing model would you prefer for an ODR arbitration platform?,Multiple Choice,""Monthly subscription (flat fee);Annual subscription (discounted);Per-case fee;Institutional pays on my behalf;Free with premium features"",TRUE,"
"Section 5: Platform Needs & Priorities,How much would you reasonably pay per month?,Multiple Choice,""Nothing ó it must be free;KES 500ñ1,000 / month;KES 1,001ñ3,000 / month;KES 3,001ñ6,000 / month;More than KES 6,000 / month;I would pay per case rather than monthly"",TRUE,"
"Section 5: Platform Needs & Priorities,Is there anything else you would like us to know?,Paragraph,,FALSE,"
